city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Singānuram,IN,18.82,79.5,20061,False,42,37,77.60000000000001,32.4,62.0,0.0,46.0,4.0,83.6,33.6,62.8,0.0,46.0,18.8
Kasongo-Lunda,CD,-6.48,16.82,20060,False,71,64,31.6,0.0,40.400000000000006,0.0,16.0,20.4,48.8,0.0,43.2,0.0,16.0,45.6
Hongqiao,CN,27.43,100.8,20060,False,78,65,17.2,23.599999999999998,16.0,0.0,0.0,30.4,14.000000000000002,28.000000000000004,18.4,0.0,0.0,53.6
Rayevskiy,RU,54.06,54.93,20060,False,61,47,40.8,30.0,20.4,0.0,46.800000000000004,47.199999999999996,39.6,34.8,23.599999999999998,0.0,46.800000000000004,71.6
Chalfont Saint Peter,GB,51.61,-0.56,20059,False,82,76,11.200000000000001,24.0,21.2,0.0,0.0,18.0,10.0,28.4,25.6,0.0,0.0,33.6
Dergaon,IN,26.7,93.97,20059,False,55,54,56.00000000000001,0.0,29.2,0.0,62.8,9.2,62.4,0.0,30.0,0.0,62.8,22.8
Boussu,BE,50.43,3.79,20058,False,86,74,13.200000000000001,2.8000000000000003,11.600000000000001,0.0,0.0,21.6,12.0,9.6,16.8,0.0,0.0,41.199999999999996
Guézon,CI,6.74,-7.12,20057,False,58,51,59.599999999999994,10.0,45.6,0.0,13.200000000000001,22.8,67.60000000000001,14.399999999999999,48.0,0.0,13.200000000000001,43.6
Guézon,CI,6.57,-7.7,20057,False,61,55,57.99999999999999,0.0,37.6,0.0,0.0,20.8,65.60000000000001,0.0,37.6,0.0,0.0,45.6
Tuqiang,CN,52.9,122.77,20056,False,70,61,45.6,0.0,0.8,0.0,0.0,33.2,45.6,0.0,2.4,0.0,0.0,60.0
Ponta Delgada,PT,37.74,-25.67,20056,True,,,,,,,,,,,,,,
Shimosuwa,JP,36.07,138.08,20055,False,80,71,30.4,0.0,0.0,0.0,0.0,25.6,28.799999999999997,0.0,0.0,0.0,0.0,45.6
Rensha,CN,30.05,107.59,20054,False,86,78,21.6,0.0,2.4,0.0,2.8000000000000003,15.6,26.0,0.0,4.0,0.0,2.8000000000000003,34.0
Hidrolândia,BR,-4.41,-40.4,20053,False,47,45,55.2,49.2,74.4,0.0,0.0,16.0,56.8,49.6,74.8,0.0,0.0,33.2
Cheppad,IN,9.24,76.47,20052,False,49,42,70.0,0.0,36.8,48.0,0.0,19.6,79.60000000000001,0.0,37.2,54.800000000000004,0.0,36.8
Isil’kul’,RU,54.91,71.27,20050,False,63,45,44.0,41.6,18.8,0.0,19.2,46.400000000000006,42.8,45.2,21.6,0.0,19.2,76.8
Ternate,PH,14.29,120.72,20049,False,60,57,58.8,0.0,39.2,0.8,0.0,20.8,62.8,0.0,39.6,0.8,0.0,36.4
Nsunga,TZ,-1.14,31.4,20049,False,71,70,0.4,8.0,34.4,0.0,42.4,22.0,1.6,8.799999999999999,36.4,0.0,42.4,41.6
